firstName,middleName,lastName,suffix,aliasFirstName,aliasMiddleName,aliasLastName,aliasSuffix,dob,pobCountry,pobState,pobCity,pobCounty,sex,race,ssn,hairColor,eyeColor,height,weight,street1,street2,city,state,postalCode,country,homeTelephone,businessTelephone,mobileTelephone,pagerTelephone,faxTelephone,email,citizenship,naturalizationDate,passportCountry,passportNumber,passportType,visaNumber,visaType,visaClassOfAdmissionClassificationCode,birthAbroadCertificationId,certificateOfCitizenshipNumber,alienNumber,i94ArrivalDepartureFormNumber,certificateOfNaturalizationNumber,ds1350CertificationOfBirthAbroad,citizenshipCertificateId,admissionId,employerName,employerStreet1,employerStreet2,employerCity,employerState,employerPostalCode,employerCountry,employerEmail,employerTelephone,employerPOC,caseProgram,caseSubprogram,airportCode,fingerprintFileName,fingerprintCaseNumber,badgeId,badgeIssueDate,badgeExpirationDate,badgeAirportCode,badgeLocalType,badgeArea,badgeAccessSIDA,badgeAccessSterileArea,badgeAccessAOA,badgeAccessSecured,badgeAccessPublicArea,badgeAccessRT,badgeStatus,badgeChangeReason 
DELMAR,,DEPEW,VII,CHUCK,TY,AINSCOUGH,V,03/24/1978,USA,AL,Farmington Hills,,M,A,293044442,BLN,GRN,44,247,9237 MESSINA ROAD,OFFICE 96,Miramar,TN,74338-6575,AND,906-316-4435,(598)8072178,793-471-4418,4063881709,2417970343,DELMAR.DEPEW@IAGE.ORG,USA,06/23/1994,BMU,2746261950,D,PI5SYPR,U-1,DXXVW4ND2C,G6X0OX0L13,DM4817IZ,,,MC0ALF52M,NSC2DM,1G73L49CDY,FE90BZ88,Activision Blizzard,15 ROMANS ROAD,OFFICE # 132,Wichita,TN,70807-7297,MDA,BRODERICK BRUNNEMER@Activision Blizzard.CO.UK,445-250-9956,BRODERICK BRUNNEMER,ACP,FPO,HPB,DELMAR_DEPEW_KKKFBS.eft,,GXU41,05/24/2003,05/24/2004,WAU,Red,Ticketting,True,False,False,True,True,False,A,
SOL,LUPE,POISSO,SR,ABE,COURTNEY,KRISHMAN,JR,05/22/1920,USA,OH,Maple Heights,LaGrange county,U,A,388951817,BRY,MAR,84,1085,8368 VISTA DORADO PLACE,,Valley Stream,HI,50865-4157,LAO,(550)5342422,816-926-9553,8975773456,(324)9788535,9593685128,SOL.POISSO@JWLR.NET,USA,,BRB,4381136456,D,3SMY71W,IR-2,AH92ZNADON,9SH2UNFSE0,1MRZE2XI,,,ZAOVTI4KZ,LG8RDI,6DD3BDFJDV,5MMPH6LO,Rolls-Royce Holdings,843 ELMHURST STREET,,Poway,WA,20512,IRQ,ANTONY OYSTON@Rolls-Royce Holdings.GOV,453-265-8200,ANTONY OYSTON,GA,DCM-FP,BWG,,,,,,,,,,,,,,,,
MILLY,MYRTIS,ROJOS,IV,MICA,,FORNICOLA,I,07/21/1922,USA,ME,Bethel Park,,F,I,445819437,BLU,MUL,71,404,6934 CALAIS,OFFICE # 270,Perth Amboy,DE,39239,SUR,2987151637,6914963613,341-538-5929,624-497-4420,546-759-4162,MILLY.ROJOS1922@SZCC.ORG,USA,,AUS,8175639628,D,NDXY9EG,G-4,QAJ5K7SJPK,M5QP2RJ72F,8UOK5NE9,,,D85DHRFRH,RLVJ0M,VBYZHTXWTQ,1UFWAN1S,Monsanto,4754 OLSON,,Sayreville,CT,61129-8235,SOM,MODESTO NAM@Monsanto.ORG,221-922-3588,MODESTO NAM,GA,PCS-PFP,BTI,,FAKE921298,,,,,,,,,,,,,,
SAUL,WARD,SWIDERSKI,V,MATHEW,VERN,PETRONIS,,05/24/1916,USA,HI,Pleasant Hill,,M,I,495193284,BLN,HAZ,92,1386,1781 ELMHURST HWY,APARTMENT 69,Auburn,WY,45902,ECU,(699)3573133,(519)7594571,(448)3161412,(235)8733351,(242)3081035,SAUL.SWIDERSKI@KZDE.NET,USA,,LKA,5288085013,M,UT5B7MU,J-1,46CKM0QXHW,7PWCJ65J80,TWKOAOKH,,,ZEUFVSFHO,SYTYAP,6SUXLSZU5E,TEQQAZ8L,Activision Blizzard,3313 HUBBARD HWY,APT # 189,Mansfield,MS,23729,EST,WILLIE MERTENS@Activision Blizzard.EDU,895-983-4859,WILLIE MERTENS,ACP,FPO,EAR,SAUL_SWIDERSKI_71L9MP.eft,,,,,,,,,,,,,,,
REYNALDO,,FORBES,,GERARDO,HILARIO,SHERIDAN,IX,10/21/1975,USA,NE,Bloomington,Lansing county,M,I,427931421,XXX,PNK,68,1208,1868 CARSON,OFFICE 161,Pittsburg,NE,44077,PAN,8177926165,765-323-5340,7425868846,(870)4944937,(391)9102043,REYNALDO.FORBES@LOYQ.GOV,USA,,USA,6997582068,M,,,U10BBPOBSJ,,,,,,,,,Pacific Wings,3765 RANCHITOS STREET,,West Springfield,SC,69991-4704,KWT,RUSSELL GROHOSKE@Pacific Wings.GOV,(824)3895062,RUSSELL GROHOSKE,GA,DCM-FP,YBR,,,,,,,,,,,,,,,,
VERNICE,HILDE,HABOWSKI,,SHAMIKA,,STEVICK,VI,02/21/1972,USA,NE,Grand Prairie,,F,U,606605863,XXX,HAZ,30,158,5001 CARROLOS STREET,SUITE 226,La Porte,TX,91886,TGO,(255)4855245,(573)3669682,(833)7536027,(767)5879280,3886166754,VERNICE.HABOWSKI1972@KUDK.NET,USA,,VIR,3244269351,P,2A4ZDF8,S-5,9Q9GT5YLYG,PPGEWERS8R,L92SIRKK,,,17M8RBPEP,FZUS8P,GI73Y5BFDI,QT7EVTDY,Arby's,1696 YORKVILLE PLACE,OFFICE # 365,Prichard,CA,85640,FLK,DICK TEGTMEIER@Arby's.COM,594-439-9365,DICK TEGTMEIER,GA,TFS-FP,TRI,,,,,,,,,,,,,,,,
AISHA,RASHIDA,TUROCY,III,LAKITA,,KUBAL,,08/23/1988,USA,NE,Lake Worth,Richardson county,F,A,300110117,PLE,MUL,61,1368,5520 ALDERLEAF HIGHWAY,,Reynoldsburg,GA,21670-2390,SYR,4884399971,434-496-9933,238-706-8596,(928)3194984,7317068444,AISHA.TUROCY1988@AISB.GOV,USA,05/23/1991,SGP,7141288301,D,0KSZRRS,GT,QDQ0X4BHAT,BPC6JWJCOW,ZPZ0D4LC,,,YX642Y2A2,VIKAXH,3VRXANG003,QH1LAM1T,Hooters Air,9730 CRIPPLE CREEK,OFFICE # 377,Jonesboro,FL,23512-8571,CIV,ROYCE QUINONES@Hooters Air.EDU,7948213223,ROYCE QUINONES,ACP,FPO,YGV,AISHA_TUROCY_5D96F9.eft,,TQNLJ,09/21/2003,09/21/2004,HYP,Blue,Terminal 1,True,False,True,True,True,True,NI,Hiring Decision
COLIN,,SOULLIERE,SR,DARREL,,BELMORE,,09/27/1986,USA,NM,Yorba Linda,,U,W,282841582,BRO,BLU,57,359,1958 ROOTSTOWN STREET,,Bell,AR,74901,PRI,(201)6407026,4827054877,5414563468,638-554-5748,495-389-3705,COLIN.SOULLIERE@YKYQ.EDU,USA,,USA,9696669279,M,WXXBMZ2,G-4,089NPPPV60,8ZXTATGLOU,TEH6OJHC,,,02P3CX98Y,JGR5FX,B51JYDWAXN,Q7GAJDV7,Aerosvit,1619 POTOMAC,,Encinitas,HI,82656-5993,WSM,RUEBEN VANG@Aerosvit.CO.UK,278-926-9030,RUEBEN VANG,AW,FPO,MRY,COLIN_SOULLIERE_AFX77O.eft,,ROP8O,02/24/2001,02/24/2002,QCX,Security,Terminal 1,False,True,True,True,False,True,P,
HELENA,SAMMIE,HADAD,,FELICIA,,CHIOU,,09/24/1919,USA,IA,Renton,,F,B,310618219,SDY,HAZ,98,966,7371 PORTSMOUTH STREET,SUITE 363,Fitchburg,ME,22484-5630,TKM,276-698-5146,2347952510,6617911384,641-832-6028,423-623-3332,HELENA.HADAD1919@NVXE.GOV,USA,,USA,8703420240,D,,,WYFD7Y4YY1,,,,,,,,,Bharat Heavy Electricals,253 MORVEN,OFFICE # 144,Florence,KS,52154-5937,UKR,FRANCIS HIELSCHER@Bharat Heavy Electricals.EDU,9492555206,FRANCIS HIELSCHER,ACP,FPO,DUT,HELENA_HADAD_P0HU7F.eft,,RD8LF,06/27/2003,06/27/2004,XZI,Contractor,Terminal 2,False,True,False,False,True,False,R,TSA Direction
HUGH,ZANE,SUMRELL,VI,RODOLFO,WALLACE,BEATY,,10/25/1949,USA,IA,State College,,M,A,234738439,PNK,BLK,45,969,4314 CRESTRIDGE,,Waterbury,ID,64982,HTI,6422703225,615-776-2351,593-807-7549,(310)8685197,965-451-6609,HUGH.SUMRELL1949@WLOP.EDU,USA,,USA,3988746713,D,,,MB3A9F19FH,,,,,,,,,Intuit,3156 WILDFLOWER STREET,,Ankeny,OH,67672,COD,MIGUEL PEETERS@Intuit.EDU,(627)4728657,MIGUEL PEETERS,GA,MDW-PFP,XLV,,FAKE961176,,,,,,,,,,,,,,
